A,f,f,e,n
0.0
0.251;542.0;0.0
0.289;542.0;-58.0
0.323;544.0;-108.0
0.365;544.0;-158.0
0.399;546.0;-176.0
0.433;547.0;-170.0
0.467;547.0;-160.0
0.504;547.0;-161.0
0.539;549.0;-159.0
0.573;552.0;-156.0
0.612;553.0;-158.0
0.654;553.0;-160.0
0.692;549.0;-158.0
0.733;546.0;-158.0
0.768;547.0;-158.0
0.802;546.0;-159.0
0.833;543.0;-159.0
0.869;544.0;-159.0
0.901;547.0;-159.0
0.935;552.0;-159.0
0.963;556.0;-159.0
1.006;557.0;-161.0
1.062;551.0;-160.0
1.1;552.0;-159.0
1.134;555.0;-157.0
1.171;555.0;-157.0
1.213;551.0;-159.0
1.249;548.0;-156.0
1.283;549.0;-156.0
1.32;554.0;-159.0
1.354;554.0;-160.0
1.389;549.0;-156.0
1.429;547.0;-156.0
1.466;551.0;-155.0
1.504;559.0;-157.0
1.54;557.0;-160.0
1.575;551.0;-157.0
1.621;546.0;-156.0
1.66;547.0;-160.0
1.693;546.0;-152.0
1.727;544.0;-151.0
1.766;545.0;-158.0
1.8;547.0;-161.0
1.838;548.0;-156.0
1.879;549.0;-156.0
1.913;548.0;-157.0
1.944;545.0;-156.0
1.987;541.0;-156.0
2.018;540.0;-163.0
2.051;540.0;-162.0
2.084;542.0;-160.0
2.131;545.0;-157.0
2.187;535.0;-155.0
2.219;535.0;-162.0
2.257;531.0;-161.0
2.294;553.0;-160.0
2.333;560.0;-158.0
2.371;560.0;-157.0
2.4;560.0;-155.0
2.434;550.0;-154.0
2.468;544.0;-158.0
2.503;541.0;-159.0
2.538;534.0;-156.0
2.573;533.0;-158.0
2.634;534.0;-156.0
2.683;549.0;-157.0
2.727;546.0;-160.0
2.762;544.0;-165.0
2.807;543.0;-162.0
2.846;545.0;-159.0
2.884;553.0;-155.0
2.93;550.0;-156.0
2.966;546.0;-157.0
3.006;544.0;-158.0
3.048;547.0;-160.0
3.107;548.0;82.0
3.141;549.0;173.0
3.172;547.0;168.0
3.208;545.0;153.0
3.241;551.0;157.0
3.279;554.0;164.0
3.316;557.0;161.0
3.356;554.0;157.0
3.389;549.0;155.0
3.424;549.0;158.0
3.454;546.0;155.0
3.491;541.0;156.0
3.52;541.0;147.0
3.552;540.0;145.0
3.587;544.0;160.0
3.624;554.0;161.0
3.662;568.0;156.0
3.709;575.0;153.0
3.743;570.0;157.0
3.778;564.0;153.0
3.822;557.0;159.0
3.862;549.0;167.0
3.899;541.0;165.0
3.928;538.0;161.0
3.959;537.0;155.0
4.002;539.0;154.0
4.056;541.0;162.0
4.102;539.0;156.0
4.156;537.0;151.0
4.218;538.0;153.0
4.259;537.0;157.0
4.31;539.0;165.0
4.359;537.0;158.0
4.403;538.0;161.0
4.448;534.0;164.0
4.487;533.0;155.0
4.53;530.0;163.0
4.568;532.0;161.0
4.607;537.0;159.0
4.649;538.0;159.0
4.684;538.0;153.0
4.728;543.0;163.0
4.763;542.0;166.0
4.794;537.0;158.0
4.836;532.0;162.0
4.871;533.0;163.0
4.909;536.0;154.0
4.945;541.0;154.0
4.983;552.0;158.0
5.017;556.0;163.0
5.056;555.0;156.0
5.096;555.0;159.0
5.133;552.0;163.0
5.177;548.0;155.0
5.212;544.0;148.0
5.25;544.0;160.0
5.289;543.0;168.0
5.323;539.0;157.0
5.371;531.0;149.0
5.409;532.0;158.0
5.449;532.0;163.0
5.483;538.0;156.0
5.519;545.0;153.0
5.56;542.0;162.0
5.596;542.0;155.0
5.629;545.0;152.0
5.667;545.0;154.0
5.707;552.0;160.0
5.745;554.0;159.0
5.782;556.0;156.0
5.819;555.0;154.0
5.853;550.0;155.0
5.89;549.0;156.0
5.921;552.0;153.0
